	time	month	country	tas	pr
0	1970M01	1	Albania	4.7379055443954226	82.50086127113555
1800	1970M02	2	Albania	5.296609157866401	65.3764227969111
3600	1970M03	3	Albania	7.577845594823779	64.38918813038
5400	1970M04	4	Albania	10.959543864113332	56.98919084376444
7200	1970M05	5	Albania	15.30910780159778	51.31074710459778
9000	1970M06	6	Albania	20.332863363473333	40.71089850553578
10800	1970M07	7	Albania	23.851559787373333	27.35909390467489
12600	1970M08	8	Albania	23.570191107433335	23.34262817715311
14400	1970M09	9	Albania	19.002111816084444	40.36824490232
16200	1970M10	10	Albania	13.678346761638	68.84641740579778
18000	1970M11	11	Albania	9.274844699710002	81.57546021956
19800	1970M12	12	Albania	6.345684136336085	82.61795272521334
36	1971M01	1	Albania	4.7379055443954226	82.50086127113555
1836	1971M02	2	Albania	5.296609157866401	65.3764227969111
3636	1971M03	3	Albania	7.577845594823779	64.38918813038
5436	1971M04	4	Albania	10.959543864113332	56.98919084376444
7236	1971M05	5	Albania	15.30910780159778	51.31074710459778
9036	1971M06	6	Albania	20.332863363473333	40.71089850553578
10836	1971M07	7	Albania	23.851559787373333	27.35909390467489
12636	1971M08	8	Albania	23.570191107433335	23.34262817715311
14436	1971M09	9	Albania	19.002111816084444	40.36824490232
16236	1971M10	10	Albania	13.678346761638	68.84641740579778
18036	1971M11	11	Albania	9.274844699710002	81.57546021956
19836	1971M12	12	Albania	6.345684136336085	82.61795272521334
72	1972M01	1	Albania	4.7379055443954226	82.50086127113555
1872	1972M02	2	Albania	5.296609157866401	65.3764227969111
3672	1972M03	3	Albania	7.577845594823779	64.38918813038
5472	1972M04	4	Albania	10.959543864113332	56.98919084376444
7272	1972M05	5	Albania	15.30910780159778	51.31074710459778
9072	1972M06	6	Albania	20.332863363473333	40.71089850553578
10872	1972M07	7	Albania	23.851559787373333	27.35909390467489
12672	1972M08	8	Albania	23.570191107433335	23.34262817715311
14472	1972M09	9	Albania	19.002111816084444	40.36824490232
16272	1972M10	10	Albania	13.678346761638	68.84641740579778
18072	1972M11	11	Albania	9.274844699710002	81.57546021956
19872	1972M12	12	Albania	6.345684136336085	82.61795272521334
108	1973M01	1	Albania	4.7379055443954226	82.50086127113555
1908	1973M02	2	Albania	5.296609157866401	65.3764227969111
3708	1973M03	3	Albania	7.577845594823779	64.38918813038
5508	1973M04	4	Albania	10.959543864113332	56.98919084376444
7308	1973M05	5	Albania	15.30910780159778	51.31074710459778
9108	1973M06	6	Albania	20.332863363473333	40.71089850553578
10908	1973M07	7	Albania	23.851559787373333	27.35909390467489
12708	1973M08	8	Albania	23.570191107433335	23.34262817715311
14508	1973M09	9	Albania	19.002111816084444	40.36824490232
16308	1973M10	10	Albania	13.678346761638	68.84641740579778
18108	1973M11	11	Albania	9.274844699710002	81.57546021956
19908	1973M12	12	Albania	6.345684136336085	82.61795272521334
144	1974M01	1	Albania	4.7379055443954226	82.50086127113555
1944	1974M02	2	Albania	5.296609157866401	65.3764227969111
3744	1974M03	3	Albania	7.577845594823779	64.38918813038
5544	1974M04	4	Albania	10.959543864113332	56.98919084376444
7344	1974M05	5	Albania	15.30910780159778	51.31074710459778
9144	1974M06	6	Albania	20.332863363473333	40.71089850553578
10944	1974M07	7	Albania	23.851559787373333	27.35909390467489
12744	1974M08	8	Albania	23.570191107433335	23.34262817715311
14544	1974M09	9	Albania	19.002111816084444	40.36824490232
16344	1974M10	10	Albania	13.678346761638	68.84641740579778
18144	1974M11	11	Albania	9.274844699710002	81.57546021956
19944	1974M12	12	Albania	6.345684136336085	82.61795272521334
180	1975M01	1	Albania	4.7379055443954226	82.50086127113555
1980	1975M02	2	Albania	5.296609157866401	65.3764227969111
3780	1975M03	3	Albania	7.577845594823779	64.38918813038
5580	1975M04	4	Albania	10.959543864113332	56.98919084376444
7380	1975M05	5	Albania	15.30910780159778	51.31074710459778
9180	1975M06	6	Albania	20.332863363473333	40.71089850553578
10980	1975M07	7	Albania	23.851559787373333	27.35909390467489
12780	1975M08	8	Albania	23.570191107433335	23.34262817715311
14580	1975M09	9	Albania	19.002111816084444	40.36824490232
16380	1975M10	10	Albania	13.678346761638	68.84641740579778
18180	1975M11	11	Albania	9.274844699710002	81.57546021956
19980	1975M12	12	Albania	6.345684136336085	82.61795272521334
216	1976M01	1	Albania	4.7379055443954226	82.50086127113555
2016	1976M02	2	Albania	5.296609157866401	65.3764227969111
3816	1976M03	3	Albania	7.577845594823779	64.38918813038
5616	1976M04	4	Albania	10.959543864113332	56.98919084376444
7416	1976M05	5	Albania	15.30910780159778	51.31074710459778
9216	1976M06	6	Albania	20.332863363473333	40.71089850553578
11016	1976M07	7	Albania	23.851559787373333	27.35909390467489
12816	1976M08	8	Albania	23.570191107433335	23.34262817715311
14616	1976M09	9	Albania	19.002111816084444	40.36824490232
16416	1976M10	10	Albania	13.678346761638	68.84641740579778
18216	1976M11	11	Albania	9.274844699710002	81.57546021956
20016	1976M12	12	Albania	6.345684136336085	82.61795272521334
252	1977M01	1	Albania	4.7379055443954226	82.50086127113555
2052	1977M02	2	Albania	5.296609157866401	65.3764227969111
3852	1977M03	3	Albania	7.577845594823779	64.38918813038
5652	1977M04	4	Albania	10.959543864113332	56.98919084376444
7452	1977M05	5	Albania	15.30910780159778	51.31074710459778
9252	1977M06	6	Albania	20.332863363473333	40.71089850553578
11052	1977M07	7	Albania	23.851559787373333	27.35909390467489
12852	1977M08	8	Albania	23.570191107433335	23.34262817715311
14652	1977M09	9	Albania	19.002111816084444	40.36824490232
16452	1977M10	10	Albania	13.678346761638	68.84641740579778
18252	1977M11	11	Albania	9.274844699710002	81.57546021956
20052	1977M12	12	Albania	6.345684136336085	82.61795272521334
288	1978M01	1	Albania	4.7379055443954226	82.50086127113555
2088	1978M02	2	Albania	5.296609157866401	65.3764227969111
3888	1978M03	3	Albania	7.577845594823779	64.38918813038
5688	1978M04	4	Albania	10.959543864113332	56.98919084376444
7488	1978M05	5	Albania	15.30910780159778	51.31074710459778
9288	1978M06	6	Albania	20.332863363473333	40.71089850553578
11088	1978M07	7	Albania	23.851559787373333	27.35909390467489
12888	1978M08	8	Albania	23.570191107433335	23.34262817715311
14688	1978M09	9	Albania	19.002111816084444	40.36824490232
16488	1978M10	10	Albania	13.678346761638	68.84641740579778
18288	1978M11	11	Albania	9.274844699710002	81.57546021956
20088	1978M12	12	Albania	6.345684136336085	82.61795272521334
324	1979M01	1	Albania	4.7379055443954226	82.50086127113555
2124	1979M02	2	Albania	5.296609157866401	65.3764227969111
3924	1979M03	3	Albania	7.577845594823779	64.38918813038
5724	1979M04	4	Albania	10.959543864113332	56.98919084376444
7524	1979M05	5	Albania	15.30910780159778	51.31074710459778
9324	1979M06	6	Albania	20.332863363473333	40.71089850553578
11124	1979M07	7	Albania	23.851559787373333	27.35909390467489
12924	1979M08	8	Albania	23.570191107433335	23.34262817715311
14724	1979M09	9	Albania	19.002111816084444	40.36824490232
16524	1979M10	10	Albania	13.678346761638	68.84641740579778
18324	1979M11	11	Albania	9.274844699710002	81.57546021956
20124	1979M12	12	Albania	6.345684136336085	82.61795272521334
360	1980M01	1	Albania	4.7379055443954226	82.50086127113555
2160	1980M02	2	Albania	5.296609157866401	65.3764227969111
3960	1980M03	3	Albania	7.577845594823779	64.38918813038
5760	1980M04	4	Albania	10.959543864113332	56.98919084376444
7560	1980M05	5	Albania	15.30910780159778	51.31074710459778
9360	1980M06	6	Albania	20.332863363473333	40.71089850553578
11160	1980M07	7	Albania	23.851559787373333	27.35909390467489
12960	1980M08	8	Albania	23.570191107433335	23.34262817715311
14760	1980M09	9	Albania	19.002111816084444	40.36824490232
16560	1980M10	10	Albania	13.678346761638	68.84641740579778
18360	1980M11	11	Albania	9.274844699710002	81.57546021956
20160	1980M12	12	Albania	6.345684136336085	82.61795272521334
396	1981M01	1	Albania	4.7379055443954226	82.50086127113555
2196	1981M02	2	Albania	5.296609157866401	65.3764227969111
3996	1981M03	3	Albania	7.577845594823779	64.38918813038
5796	1981M04	4	Albania	10.959543864113332	56.98919084376444
7596	1981M05	5	Albania	15.30910780159778	51.31074710459778
9396	1981M06	6	Albania	20.332863363473333	40.71089850553578
11196	1981M07	7	Albania	23.851559787373333	27.35909390467489
12996	1981M08	8	Albania	23.570191107433335	23.34262817715311
14796	1981M09	9	Albania	19.002111816084444	40.36824490232
16596	1981M10	10	Albania	13.678346761638	68.84641740579778
18396	1981M11	11	Albania	9.274844699710002	81.57546021956
20196	1981M12	12	Albania	6.345684136336085	82.61795272521334
432	1982M01	1	Albania	4.7379055443954226	82.50086127113555
2232	1982M02	2	Albania	5.296609157866401	65.3764227969111
4032	1982M03	3	Albania	7.577845594823779	64.38918813038
5832	1982M04	4	Albania	10.959543864113332	56.98919084376444
