age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADULT,F,NR,AL	93 	97 	121 	109 	89 	82 	84 	96 	113 	101 
ADULT,F,NR,AT	508 	481 	498 	501 	538 	568 	564 	516 	460 	396 
ADULT,F,NR,BA	74 	48 	86 	60 	56 	: 	38 	60 	: 	: 
ADULT,F,NR,BE	: 	: 	525 	: 	456 	440 	437 	411 	389 	441 
ADULT,F,NR,BG	218 	228 	245 	258 	263 	307 	289 	291 	240 	290 
ADULT,F,NR,CH	371 	371 	355 	315 	347 	306 	301 	319 	345 	298 
ADULT,F,NR,CY	33 	41 	31 	30 	25 	43 	35 	45 	31 	42 
ADULT,F,NR,CZ	1631 	1635 	1430 	1164 	954 	1446 	1480 	1282 	999 	1079 
ADULT,F,NR,DE	: 	: 	3609 	3639 	3797 	3943 	3927 	3845 	3857 	3930 
ADULT,F,NR,DK	135 	150 	118 	145 	189 	149 	164 	183 	178 	155 
ADULT,F,NR,EE	140 	177 	153 	: 	154 	162 	181 	193 	149 	190 
ADULT,F,NR,EL	543 	515 	482 	561 	648 	557 	562 	577 	554 	744 
ADULT,F,NR,ES	4269 	4349 	4623 	4874 	4925 	5068 	5157 	5652 	6076 	5950 
ADULT,F,NR,FI	228 	215 	228 	237 	253 	219 	228 	245 	238 	218 
ADULT,F,NR,FR	2363 	2232 	2119 	2073 	2131 	2180 	2167 	1927 	2021 	2093 
ADULT,F,NR,HR	116 	116 	160 	182 	188 	202 	245 	228 	218 	209 
ADULT,F,NR,HU	1268 	1280 	1235 	1332 	1336 	1225 	1216 	1009 	989 	923 
ADULT,F,NR,IE	: 	: 	115 	120 	122 	122 	122 	138 	123 	111 
ADULT,F,NR,IS	8 	8 	6 	3 	6 	13 	8 	8 	7 	9 
ADULT,F,NR,IT	2421 	2285 	2107 	2304 	2694 	2804 	2808 	2930 	2751 	2526 
ADULT,F,NR,LI	4 	4 	3 	4 	3 	3 	3 	5 	9 	4 
ADULT,F,NR,LT	330 	321 	295 	377 	428 	435 	417 	414 	367 	355 
ADULT,F,NR,LU	37 	36 	40 	25 	31 	31 	36 	23 	38 	32 
ADULT,F,NR,LV	290 	349 	355 	343 	347 	416 	416 	421 	402 	380 
ADULT,F,NR,ME	26 	36 	35 	31 	19 	53 	37 	59 	39 	18 
ADULT,F,NR,MK	71 	102 	: 	: 	: 	: 	50 	55 	55 	: 
ADULT,F,NR,MT	: 	37 	41 	37 	44 	47 	35 	34 	28 	29 
ADULT,F,NR,NL	578 	566 	489 	662 	673 	712 	789 	872 	896 	940 
ADULT,F,NR,NO	: 	243 	212 	204 	200 	248 	252 	221 	211 	192 
ADULT,F,NR,PL	2825 	2535 	2336 	2484 	2591 	2638 	2456 	2515 	2434 	2455 
ADULT,F,NR,PT	849 	864 	855 	835 	839 	758 	711 	627 	613 	: 
ADULT,F,NR,RO	1100 	1391 	1427 	1517 	1539 	1405 	1355 	1247 	1194 	1211 
ADULT,F,NR,RS	384 	405 	357 	360 	402 	240 	423 	427 	402 	321 
ADULT,F,NR,SE	348 	346 	327 	332 	330 	362 	390 	394 	374 	392 
ADULT,F,NR,SI	: 	103 	81 	89 	64 	70 	57 	53 	64 	59 
ADULT,F,NR,SK	716 	673 	628 	611 	583 	646 	618 	551 	488 	408 
ADULT,F,NR,TR	: 	8294 	6435 	5755 	5169 	4538 	4539 	4150 	4013 	: 
ADULT,F,NR,UKC-L	: 	3832 	3881 	3901 	3807 	4086 	4146 	4197 	4183 	4339 
ADULT,F,NR,UKM	: 	: 	393 	399 	406 	425 	424 	385 	380 	367 
ADULT,F,NR,UKN	55 	48 	43 	58 	64 	51 	45 	46 	47 	47 
ADULT,F,NR,XK	37 	41 	42 	59 	55 	48 	46 	: 	: 	: 
ADULT,F,P_HTHAB,AL	8.49 	8.59 	10.78 	9.79 	: 	: 	: 	: 	: 	: 
ADULT,F,P_HTHAB,AT	13.65 	13.03 	13.66 	13.82 	14.95 	15.89 	15.87 	14.60 	13.08 	11.33 
ADULT,F,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	1.93 	3.05 	: 	: 
ADULT,F,P_HTHAB,BE	: 	: 	11.42 	: 	10.00 	9.70 	9.71 	9.25 	8.83 	10.10 
ADULT,F,P_HTHAB,BG	7.10 	7.36 	7.84 	8.20 	8.30 	9.63 	9.02 	9.03 	7.41 	8.92 
ADULT,F,P_HTHAB,CH	10.57 	10.83 	10.31 	9.26 	10.33 	9.21 	9.16 	9.81 	10.75 	9.43 
ADULT,F,P_HTHAB,CY	9.41 	12.01 	8.94 	8.40 	7.08 	12.32 	10.16 	13.53 	9.81 	13.57 
ADULT,F,P_HTHAB,CZ	36.72 	36.79 	32.14 	26.16 	21.41 	32.47 	33.33 	28.95 	22.66 	24.65 
ADULT,F,P_HTHAB,DE	: 	: 	10.32 	10.44 	10.92 	11.36 	11.34 	10.94 	10.97 	11.22 
ADULT,F,P_HTHAB,DK	5.82 	6.52 	5.26 	6.41 	8.42 	6.80 	7.41 	8.32 	8.15 	7.14 
ADULT,F,P_HTHAB,EE	24.66 	30.57 	26.73 	: 	26.70 	27.53 	33.58 	35.89 	29.28 	31.96 
ADULT,F,P_HTHAB,EL	11.94 	11.10 	10.35 	12.00 	13.82 	11.84 	11.93 	12.29 	11.85 	15.80 
ADULT,F,P_HTHAB,ES	21.74 	22.20 	23.61 	24.89 	25.06 	25.77 	26.33 	28.99 	31.66 	31.04 
ADULT,F,P_HTHAB,FI	10.06 	9.51 	10.12 	10.56 	11.33 	9.87 	10.33 	11.17 	11.08 	10.06 
ADULT,F,P_HTHAB,FR	8.66 	8.21 	7.83 	7.72 	7.98 	8.20 	8.18 	7.32 	7.71 	8.04 
ADULT,F,P_HTHAB,HR	6.47 	6.43 	8.82 	10.00 	10.31 	11.06 	13.38 	12.42 	11.86 	11.61 
ADULT,F,P_HTHAB,HU	29.58 	29.73 	28.57 	30.76 	30.80 	28.23 	27.85 	23.10 	22.66 	21.70 
ADULT,F,P_HTHAB,IE	: 	: 	6.56 	6.88 	7.00 	6.98 	6.99 	7.93 	7.11 	6.52 
ADULT,F,P_HTHAB,IS	6.35 	6.69 	4.98 	2.45 	5.13 	11.03 	6.84 	6.77 	6.06 	7.81 
ADULT,F,P_HTHAB,IT	9.20 	8.67 	7.98 	8.74 	10.39 	10.87 	10.89 	11.42 	10.77 	9.96 
ADULT,F,P_HTHAB,LI	27.20 	30.89 	23.05 	31.33 	21.97 	23.43 	23.73 	41.40 	70.40 	27.92 
ADULT,F,P_HTHAB,LT	26.03 	24.88 	22.36 	28.39 	31.98 	32.24 	30.54 	29.62 	26.52 	25.17 
ADULT,F,P_HTHAB,LU	15.84 	6.25 	18.06 	11.36 	15.08 	15.07 	17.96 	11.78 	19.47 	16.60 
ADULT,F,P_HTHAB,LV	33.97 	39.71 	39.22 	38.03 	37.96 	44.32 	44.42 	43.57 	41.63 	38.43 
ADULT,F,P_HTHAB,ME	11.04 	14.77 	14.39 	12.79 	8.11 	21.89 	15.18 	24.75 	16.45 	7.49 
ADULT,F,P_HTHAB,MK	8.52 	12.29 	: 	: 	: 	: 	6.17 	6.84 	7.10 	: 
ADULT,F,P_HTHAB,MT	: 	20.88 	22.93 	21.65 	25.90 	28.69 	20.49 	20.81 	17.07 	17.57 
ADULT,F,P_HTHAB,NL	8.32 	8.33 	7.14 	9.71 	9.92 	10.56 	11.77 	13.10 	13.57 	14.33 
ADULT,F,P_HTHAB,NO	: 	12.12 	10.50 	10.24 	10.16 	12.77 	13.15 	11.69 	11.31 	10.43 
ADULT,F,P_HTHAB,PL	17.38 	15.59 	14.37 	15.30 	15.97 	16.30 	15.23 	15.65 	15.08 	15.29 
ADULT,F,P_HTHAB,PT	18.64 	18.95 	18.75 	18.29 	18.34 	16.81 	15.53 	14.00 	13.52 	: 
ADULT,F,P_HTHAB,RO	13.35 	16.76 	17.10 	18.10 	18.29 	16.63 	14.92 	13.73 	13.90 	14.14 
ADULT,F,P_HTHAB,RS	12.72 	13.34 	11.70 	11.75 	13.09 	7.78 	13.67 	13.81 	12.97 	10.34 
ADULT,F,P_HTHAB,SE	8.76 	8.79 	8.36 	8.56 	8.56 	9.47 	10.44 	10.84 	10.07 	10.66 
ADULT,F,P_HTHAB,SI	: 	11.90 	9.46 	10.27 	7.38 	8.22 	6.59 	6.14 	7.54 	6.89 
ADULT,F,P_HTHAB,SK	31.20 	29.35 	27.41 	26.71 	25.53 	28.38 	27.28 	24.41 	21.73 	18.26 
ADULT,F,P_HTHAB,TR	: 	29.52 	23.32 	21.22 	19.41 	17.36 	17.71 	16.96 	16.27 	: 
ADULT,F,P_HTHAB,UKC-L	: 	16.36 	16.71 	16.91 	16.61 	17.94 	18.34 	18.75 	18.82 	19.93 
ADULT,F,P_HTHAB,UKM	: 	: 	17.46 	17.80 	18.19 	19.10 	19.17 	17.55 	17.44 	17.12 
ADULT,F,P_HTHAB,UKN	7.47 	6.54 	5.98 	8.00 	8.88 	7.24 	6.31 	6.74 	6.70 	6.83 
ADULT,F,P_HTHAB,XK	: 	6.79 	: 	: 	: 	: 	5.17 	: 	: 	: 
ADULT,M,NR,AL	5541 	5875 	5771 	5493 	4802 	4439 	4454 	4461 	4466 	2910 
ADULT,M,NR,AT	8202 	8022 	8057 	8111 	8221 	8113 	8060 	7866 	7453 	: 
ADULT,M,NR,BA	2287 	2166 	2212 	2477 	2465 	: 	2193 	2161 	: 	: 
ADULT,M,NR,BE	: 	: 	10345 	: 	11271 	10638 	10499 	10023 	9671 	9298 
ADULT,M,NR,BG	6740 	7090 	7117 	7549 	8493 	9111 	9507 	9015 	8708 	9043 
ADULT,M,NR,CH	6156 	6151 	6124 	6179 	6275 	5743 	5298 	5405 	5206 	4943 
ADULT,M,NR,CY	538 	530 	492 	479 	491 	609 	571 	577 	519 	582 
ADULT,M,NR,CZ	20375 	20761 	19338 	17387 	15578 	20994 	21485 	20410 	: 	: 
ADULT,M,NR,DE	: 	: 	59411 	59589 	62424 	64590 	65616 	66982 	68438 	69863 
ADULT,M,NR,DK	3274 	3242 	3079 	3429 	3890 	3673 	3774 	3743 	3523 	: 
ADULT,M,NR,EE	2563 	2658 	2646 	: 	2936 	3088 	3190 	3157 	3371 	3224 
ADULT,M,NR,EL	9455 	9023 	9116 	11206 	11593 	11318 	11330 	11204 	10300 	11040 
ADULT,M,NR,ES	52604 	53362 	55103 	58099 	59513 	60827 	63108 	65951 	70003 	67608 
ADULT,M,NR,FI	2756 	2848 	2818 	2810 	2960 	3000 	2969 	3046 	3249 	3219 
ADULT,M,NR,FR	65839 	65442 	63851 	63493 	64213 	63668 	61908 	57929 	58288 	: 
ADULT,M,NR,HR	2947 	2947 	3130 	3511 	4081 	4471 	4784 	4898 	: 	: 
ADULT,M,NR,HU	15838 	16071 	15862 	16134 	16027 	15440 	15470 	14758 	13931 	13289 
