isco08,ind_type,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
OC264_265,EMP_FT,PC,AT	65 	63 	67 	62 	56 	65 	70 	65 
OC264_265,EMP_FT,PC,BE	71 b	72 b	70 	73 	74 	77 	72 b	75 
OC264_265,EMP_FT,PC,BG	92 	89 	82 	85 	91 	90 	88 	85 
OC264_265,EMP_FT,PC,CH	38 	39 	42 	45 	43 	43 	44 	47 
OC264_265,EMP_FT,PC,CY	66 	76 	75 	66 b	64 	72 	72 	61 u
OC264_265,EMP_FT,PC,CZ	85 	89 	88 	88 	87 	84 	91 	88 
OC264_265,EMP_FT,PC,DE	67 	67 	67 	67 	68 	69 	67 b	69 
OC264_265,EMP_FT,PC,DK	67 	76 b	70 b	74 	76 	72 	70 	67 
OC264_265,EMP_FT,PC,EE	74 	82 	90 	69 	84 	73 	70 	75 
OC264_265,EMP_FT,PC,EL	77 	78 	76 	75 	73 	82 	86 	85 
OC264_265,EMP_FT,PC,ES	79 	84 	83 	81 	80 	83 	79 	83 
OC264_265,EMP_FT,PC,EU28	70 	70 	71 	70 	70 	71 	71 	72 
OC264_265,EMP_FT,PC,FI	63 	62 	66 	77 	72 	71 	76 	69 
OC264_265,EMP_FT,PC,FR	70 	68 	67 	67 	64 b	67 b	66 	67 
OC264_265,EMP_FT,PC,HR	87 	81 u	70 u	79 	80 u	80 	74 u	84 u
OC264_265,EMP_FT,PC,HU	90 	93 	91 	88 	86 	88 	84 	85 
OC264_265,EMP_FT,PC,IE	75 	75 b	71 	70 	66 	70 	70 	71 
OC264_265,EMP_FT,PC,IS	72 	70 	77 	80 	78 	76 	81 	84 
OC264_265,EMP_FT,PC,IT	71 	70 b	73 	72 	73 	73 	74 	76 
OC264_265,EMP_FT,PC,LT	80 	80 	86 	87 	87 	94 	93 	87 
OC264_265,EMP_FT,PC,LU	84 	80 	85 	85 b	82 	85 	85 	81 
OC264_265,EMP_FT,PC,LV	68 	73 	69 	81 	76 	78 	72 	76 
OC264_265,EMP_FT,PC,ME	94 	90 	83 	89 	91 	87 	93 u	94 
OC264_265,EMP_FT,PC,MK	85 	91 	84 	95 	89 	90 	77 	80 
OC264_265,EMP_FT,PC,MT	74 	65 b	69 	64 u	57 u	67 u	85 	77 u
OC264_265,EMP_FT,PC,NL	44 	43 	48 	44 	42 	42 b	44 	47 
OC264_265,EMP_FT,PC,NO	69 	64 	64 	64 	69 	67 	73 	70 
OC264_265,EMP_FT,PC,PL	81 	81 	84 	81 	75 	77 	80 	76 
OC264_265,EMP_FT,PC,PT	81 	80 	83 	75 	77 	76 	73 	76 
OC264_265,EMP_FT,PC,RO	94 	93 	94 	90 	89 	89 	92 	94 
OC264_265,EMP_FT,PC,RS	65 	67 	68 	64 	59 b	59 	: 	: 
OC264_265,EMP_FT,PC,SE	68 	68 	68 	69 	69 	69 	69 	69 
OC264_265,EMP_FT,PC,SI	80 	83 	84 	91 	83 	78 	79 	82 
OC264_265,EMP_FT,PC,SK	88 	94 	93 	91 	94 	92 	94 	99 
OC264_265,EMP_FT,PC,TR	71 	74 	73 	73 	74 b	77 	74 b	70 
OC264_265,EMP_FT,PC,UK	66 	65 	70 	69 	69 	69 	69 	70 
OC264_265,EMP_JOB1,PC,AT	90 	86 	86 	87 	89 	86 	90 	90 
OC264_265,EMP_JOB1,PC,BE	94 b	92 b	91 	92 	95 	94 	93 b	90 
OC264_265,EMP_JOB1,PC,BG	99 	100 	96 	98 	96 	99 	99 	100 
OC264_265,EMP_JOB1,PC,CH	79 	81 	80 	83 	85 	84 	84 	81 
OC264_265,EMP_JOB1,PC,CY	85 	89 	96 	94 b	86 	90 	99 	91 
OC264_265,EMP_JOB1,PC,CZ	92 	93 	96 	98 	95 	94 	95 	93 
OC264_265,EMP_JOB1,PC,DE	90 	89 	89 	91 	90 	90 	90 b	90 
OC264_265,EMP_JOB1,PC,DK	88 	87 b	87 b	87 	88 	85 	86 	82 
OC264_265,EMP_JOB1,PC,EE	80 	86 	77 	81 	77 	88 	84 	73 
OC264_265,EMP_JOB1,PC,EL	95 	95 	95 	98 	99 	97 	94 	91 
OC264_265,EMP_JOB1,PC,ES	94 	94 	94 	94 	95 	97 	97 	95 
OC264_265,EMP_JOB1,PC,EU28	90 	90 	89 	89 	89 	89 	91 	90 
OC264_265,EMP_JOB1,PC,FI	83 	81 	88 	89 	88 	87 	86 	89 
OC264_265,EMP_JOB1,PC,FR	82 	85 	79 	79 	79 b	79 b	89 	89 
OC264_265,EMP_JOB1,PC,HR	97 	98 u	96 	94 	90 	93 	90 	88 u
OC264_265,EMP_JOB1,PC,HU	96 	97 	96 	94 	94 	95 	93 	96 
OC264_265,EMP_JOB1,PC,IE	92 	94 b	96 	95 	95 	94 	94 	95 
OC264_265,EMP_JOB1,PC,IS	78 	74 	75 	74 	75 	81 	82 	87 
OC264_265,EMP_JOB1,PC,IT	94 	96 b	95 	94 	97 	96 	97 	95 
OC264_265,EMP_JOB1,PC,LT	94 	92 	91 	91 	89 	87 	88 	86 
OC264_265,EMP_JOB1,PC,LU	95 	96 	93 	95 b	92 	98 	95 	96 
OC264_265,EMP_JOB1,PC,LV	85 	87 	84 	82 	86 	96 	95 	96 
OC264_265,EMP_JOB1,PC,ME	98 	100 	96 	98 	97 	95 	100 u	97 
OC264_265,EMP_JOB1,PC,MK	96 	96 	94 	94 	97 	98 	93 	93 
OC264_265,EMP_JOB1,PC,MT	100 	97 b	91 	90 	98 	97 	96 	96 
OC264_265,EMP_JOB1,PC,NL	81 	81 	80 	80 	80 	82 b	84 	81 
OC264_265,EMP_JOB1,PC,NO	87 	87 	81 	85 	85 	84 	84 	83 
OC264_265,EMP_JOB1,PC,PL	88 	88 	87 	84 	87 	85 	86 	86 
OC264_265,EMP_JOB1,PC,PT	88 	88 	88 	91 	89 	91 	86 	90 
OC264_265,EMP_JOB1,PC,RO	98 	99 	100 	100 	99 	99 	97 	99 
OC264_265,EMP_JOB1,PC,RS	94 	94 	91 	93 	94 b	95 	: 	: 
OC264_265,EMP_JOB1,PC,SE	84 	84 	86 	84 	85 	85 	86 	84 
