indic,unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 	2019Q1 	2019Q2 
TOTAL,I15_NSA,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74.05 	76.54 	78.16 	78.44 	79.01 	81.05 	82.83 	83.50 	85.50 	86.75 	89.14 	88.89 	90.37 	91.74 	94.48 	91.81 	94.32 	95.83 	95.14 	96.03 	93.88 	99.89 	104.01 	102.22 	106.48 	108.87 	109.43 	109.35 	111.54 	114.24 	114.75 	116.51 	117.50 	118.51 	120.37 	122.18 	122.38 	126.40 
TOTAL,I15_NSA,BE	69.68 	71.24 	73.78 	75.24 	76.70 	78.79 	81.07 	81.69 	83.62 	85.28 	86.90 	87.24 	88.09 	89.34 	90.62 	90.12 	88.95 	88.09 	90.15 	89.30 	90.28 	91.12 	92.86 	93.41 	94.07 	94.93 	96.80 	96.64 	97.33 	97.42 	98.52 	97.72 	98.34 	98.60 	99.82 	98.83 	97.00 	97.67 	98.96 	99.78 	97.40 p	99.56 p	101.75 p	101.29 p	100.56 p	101.75 p	104.31 p	103.94 p	105.01 	104.67 	108.18 	107.63 	107.67 	108.73 	110.93 	110.34 	111.54 	112.08 p
TOTAL,I15_NSA,BG	76.01 e	79.26 e	81.55 e	83.52 e	87.47 e	88.91 e	92.96 e	98.09 e	107.23 e	112.97 e	121.42 e	132.06 e	141.08 e	149.36 e	153.92 e	147.53 e	130.77 e	118.17 	112.62 	109.58 	107.18 	106.52 	105.38 	104.15 	102.03 	100.23 	99.54 	98.10 	98.23 	98.67 	98.57 	96.82 	96.00 	96.48 	95.52 	95.66 	96.66 	96.97 	97.21 	98.32 	98.85 b	99.71 	99.21 	102.23 	103.38 	106.24 	107.94 	110.52 	112.66 	115.37 	117.62 	119.53 	120.65 	124.03 	124.99 	126.15 	129.45 	130.26 p
TOTAL,I15_NSA,CY	93.41 	95.38 	98.79 	100.64 	103.04 	106.44 	110.64 	114.16 	116.41 	119.71 	124.05 	125.11 	129.59 	130.42 	128.69 	123.96 	122.40 	121.17 	119.19 	116.27 	114.37 	112.79 	112.39 	112.05 	111.56 	113.99 	111.22 	107.60 	106.40 	106.02 	110.14 	108.22 	104.54 	104.77 	103.05 	100.78 	98.08 	103.55 	102.70 	101.56 	97.52 	100.59 	102.49 	99.40 	97.29 	99.18 	101.87 	102.72 	99.64 	102.74 	102.46 	105.24 	103.34 	103.98 	103.30 	106.95 	107.78 	112.33 p
TOTAL,I15_NSA,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.20 	101.20 	102.70 	102.10 	99.90 	96.70 	95.90 	95.20 	95.20 	95.40 	95.10 	95.20 	95.40 	95.90 	95.30 	94.40 	93.90 	94.00 	93.80 	93.70 	93.60 	94.10 	94.00 	93.80 	95.00 	95.80 	96.60 	97.30 	98.30 	99.40 	100.60 	101.70 p	103.00 	105.10 	107.70 	112.80 p	116.20 	119.10 	121.20 	122.30 p	125.00 	128.70 	131.90 	134.40 p	137.00 	139.90 
TOTAL,I15_NSA,DE	84.20 	82.70 	84.40 	82.00 	83.20 	83.50 	82.30 	83.00 	80.00 	81.70 	81.60 	81.60 	82.80 	83.10 	81.60 	81.80 	81.80 	83.10 	82.90 	84.20 	83.00 	84.30 	84.30 	83.80 	86.00 	87.10 	86.70 	87.30 	87.90 	89.10 	90.40 	91.60 	91.30 	93.10 	92.90 	93.00 	93.80 	95.70 	96.20 	96.20 	97.80 	99.90 	100.40 	101.80 	103.90 	106.90 	108.80 	110.40 	110.90 	113.10 	115.00 	117.30 	118.30 	120.60 	123.10 	124.60 	124.40 p	126.90 p
TOTAL,I15_NSA,DK	75.49 	79.46 	85.56 	91.19 	97.68 	103.64 	105.67 	104.58 	105.01 	106.41 	106.58 	104.58 	103.24 	103.56 	100.91 	93.04 	87.14 	88.18 	88.88 	88.55 	89.12 	91.00 	91.73 	90.78 	89.91 	91.94 	88.90 	85.74 	85.75 	86.99 	87.26 	86.85 	88.03 	91.17 	91.21 	89.95 	91.22 	94.69 	94.21 	93.83 	97.34 	100.59 	101.03 	101.04 	102.99 	105.58 	107.00 	105.29 	107.60 	110.52 	111.98 	109.89 	114.00 	115.62 	116.07 	113.54 	116.03 	119.00 p
TOTAL,I15_NSA,EA	89.60 p	90.99 p	93.23 p	93.71 p	95.51 p	97.54 p	98.87 p	99.89 p	100.06 p	101.76 p	102.89 p	102.96 p	103.53 p	103.97 p	103.51 p	101.84 p	100.61 p	100.25 p	100.31 p	100.66 p	100.26 p	101.54 p	102.14 p	102.03 p	102.38 p	103.28 p	102.98 p	101.86 p	100.90 p	100.65 p	100.26 p	99.77 p	98.15 p	98.46 p	98.64 p	97.97 p	97.78 p	98.68 p	99.02 p	98.46 p	98.26 p	99.88 p	100.89 p	100.98 p	101.91 p	103.55 p	105.06 p	105.55 p	106.26 p	107.84 p	109.54 p	110.43 p	111.34 p	113.02 p	114.79 p	115.51 p	115.90 p	117.82 p
TOTAL,I15_NSA,EE	50.59 	57.07 	60.25 	68.14 	77.03 	84.82 	90.76 	100.27 	103.53 	110.16 	107.00 	105.46 	102.22 	99.17 	99.04 	84.74 	66.51 	61.83 	57.25 	56.27 	62.84 	63.42 	65.82 	63.51 	67.03 	68.98 	70.29 	70.98 	71.91 	74.27 	76.17 	75.13 	77.45 	80.30 	84.60 	86.82 	91.01 	91.98 	95.77 	95.57 	98.31 	101.60 	99.63 	100.46 	100.32 	103.47 	106.98 	108.21 	108.08 	108.42 	112.06 	113.49 	115.17 	116.43 	116.71 	119.96 	121.99 	123.14 
TOTAL,I15_NSA,ES	: 	: 	: 	123.70 	128.30 	133.79 	138.16 	141.74 	145.14 	149.29 	150.90 	149.82 	149.27 	148.88 	146.51 	141.99 	138.20 	137.58 	136.33 	135.78 	134.08 	136.26 	134.01 	133.86 	129.31 	127.76 	123.20 	116.80 	110.97 	107.37 	103.36 	101.91 	96.75 	95.98 	96.72 	95.50 	95.20 	96.78 	96.99 	97.18 	96.67 	100.67 	101.34 	101.31 	102.74 	104.55 	105.41 	105.78 	108.20 	110.39 	112.43 	113.39 	114.96 	117.90 	120.48 	120.97 	122.88 	124.27 
