unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,MED_E,DEG1,F,TOTAL,AT	23563 	23890 	22168 	22390 	21976 	20778 	20177 b	20566 	20120 	20153 	18247 b	17880 	18126 	18370 	16878 	16096 
EUR,MED_E,DEG1,F,TOTAL,BE	20680 	19713 	18448 	18782 	18967 	18459 	17240 b	18480 	18465 	18612 	16788 	16450 	16123 	15379 	15072 	14664 
EUR,MED_E,DEG1,F,TOTAL,BG	4238 	4368 	3856 b	4010 	3992 	3617 	3389 b	3637 	3731 	3277 	2592 	1677 	1613 	: 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,CH	43157 	43155 	42942 	39174 	38002 b	39115 	38028 b	33726 	30666 	29021 	27359 	28030 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,CY	16649 	15975 	15519 	15189 	15292 	16792 	17857 b	17613 	17136 	17036 	17016 b	16487 	15040 	13833 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,CZ	9105 	8277 	7843 	7664 	7935 	8063 	8143 b	7723 	7496 	7717 	6211 	5732 	4969 	4360 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,DE	21480 	21012 	20400 	19877 	18963 	18847 	18678 b	18964 	18839 	18499 	18219 	17571 	15493 	16474 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,DK	29637 	29766 	27771 	27464 	27599 	26179 	26737 b	27223 b	25227 	24835 	23532 	23349 	22117 	21551 	20972 	20842 
EUR,MED_E,DEG1,F,TOTAL,EA	19173 	18807 e	18264 e	17807 e	17527 e	17467 e	17427 e	17592 e	17758 e	17480 e	17123 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,EA18	19281 	18917 	18380 	17928 	17527 	17383 	17334 	17504 	17621 	17352 	16879 	15537 	14748 	14695 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,EA19	19173 	18807 	18264 	17807 	17409 	17266 	17215 	17390 	17507 	17246 	16769 	15432 	14636 	14576 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,EE	10600 	10160 	9174 	8497 	7727 b	7074 	6450 b	5799 	6045 	6491 	5747 	4523 	3795 	3203 	2685 	: 
EUR,MED_E,DEG1,F,TOTAL,EL	8374 	8297 	8150 	8198 	8384 	8667 	10189 b	11667 	13476 	12381 	12177 	11400 	10800 	10625 	10035 	9432 
EUR,MED_E,DEG1,F,TOTAL,ES	16006 	15327 	14673 	14595 	14602 	15082 	15145 b	15441 	16023 	15880 	15052 b	12607 	12052 	11352 	11458 	: 
EUR,MED_E,DEG1,F,TOTAL,EU	17810 	17472 e	17021 e	16555 e	16214 e	15813 e	15830 e	15501 e	15467 e	15310 e	15309 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,EU27	17868 	17529 	17078 	16609 	16269 	15866 	15887 	15558 	15519 	15310 	15309 	14727 	13754 e	13243 e	: 	: 
EUR,MED_E,DEG1,F,TOTAL,EU28	17810 	17472 	17021 	16555 	16214 	15813 	15827 	15501 	15467 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,FI	25477 	24975 	24599 	24476 	24328 	23762 	24027 b	22953 	23005 	22235 	21081 	19781 	18987 	18401 	17995 	: 
EUR,MED_E,DEG1,F,TOTAL,FR	22566 	22535 	22379 	21871 	21452 	21252 	21075 b	19891 	19824 	19700 	18981 b	16379 	16510 	16278 	15389 	: 
EUR,MED_E,DEG1,F,TOTAL,HR	7658 	7168 	6613 	6386 	5805 	6276 	6227 b	6256 	6792 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,HU	5860 	5755 	5710 	5518 	5215 	5131 	5359 b	5266 	4944 	5443 	4935 	4480 	4475 	4057 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,IE	25871 p	23971 	24262 	23218 	22196 	22507 	22770 b	21788 	23424 	24466 	26134 	24547 	22644 	20925 	19657 	18494 
EUR,MED_E,DEG1,F,TOTAL,IS	: 	: 	29422 	25177 	22884 	21344 	19328 b	19298 	18633 	23024 	34200 	29930 	29702 	24137 	22457 	: 
EUR,MED_E,DEG1,F,TOTAL,IT	17120 	16860 	16610 	16245 b	16149 	15924 	16155 	16203 	16254 	15713 	15828 	15130 	14800 	14532 	13997 	: 
EUR,MED_E,DEG1,F,TOTAL,LT	7884 	7415 	6772 	6155 	5568 	5325 	5064 b	4457 	4724 	5655 	4845 	3840 	3088 	2527 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,LU	42606 	40306 	36669 b	36853 	36803 	33803 	35342 b	29586 	29337 	28358 	27745 	26849 	27148 	26235 	25171 	24257 
EUR,MED_E,DEG1,F,TOTAL,LV	7974 	7240 	6857 	6358 	5610 	5075 	4646 b	4502 	4918 	5750 	5320 	3883 	2990 	2376 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,MK	: 	2670 	2502 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,MT	14520 	14249 	13523 	13361 	12610 	11824 	11149 b	10544 	10198 	10219 	9724 	9146 	8901 	8455 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,NL	23183 	23037 	22000 b	20598 	20712 	20282 	20023 b	20357 	20377 	20221 	19576 	18316 	17156 	16911 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,NO	38778 	37807 	39025 	41604 	: 	43993 	41206 b	37518 	33318 	34461 	32330 	29457 	28367 	26065 	27005 	: 
EUR,MED_E,DEG1,F,TOTAL,PL	7306 	6840 	6761 	6489 	6233 	5999 	5972 b	5859 	5117 	5995 	4903 	4143 	3700 	2954 	: 	: 
