deg_urb,levels,age,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
DEG1,BAD,Y18-64,F,AT	5.4 	5.9 	5.9 	8.4 	6.8 	7.6 	7.8 b	6.6 	5.8 	5.7 	5.4 	4.9 	4.3 	5.1 	5.9 	2.3 
DEG1,BAD,Y18-64,F,BE	6.7 	8.3 	9.0 	9.4 	10.0 	7.4 	6.7 b	6.8 	6.2 	7.4 	7.0 	7.2 	6.7 	7.1 	5.6 	6.4 
DEG1,BAD,Y18-64,F,BG	3.3 	3.6 	3.3 b	3.8 	3.0 	2.9 	3.7 b	3.6 	4.5 	4.7 	7.0 	6.4 	7.8 	7.8 	: 	: 
DEG1,BAD,Y18-64,F,CH	5.1 	3.2 	5.2 	2.8 	2.4 b	3.1 	3.5 b	2.8 	2.9 	2.7 	2.2 	3.8 	: 	: 	: 	: 
DEG1,BAD,Y18-64,F,CY	1.8 	1.7 	2.0 	2.2 	2.7 	3.5 	3.2 b	2.7 	3.0 	3.5 	3.6 	4.3 	3.6 	3.0 	: 	: 
DEG1,BAD,Y18-64,F,CZ	4.7 u	5.0 u	5.4 u	4.7 u	5.3 u	6.3 u	5.5 bu	5.9 u	6.0 	6.6 	6.1 	7.5 	8.2 	7.0 	: 	: 
DEG1,BAD,Y18-64,F,DE	6.8 	5.1 	6.0 	6.3 	6.4 	5.5 	5.7 b	4.5 	5.2 	5.3 	4.9 	5.9 	6.4 	6.7 	: 	: 
DEG1,BAD,Y18-64,F,DK	4.4 	5.4 	3.5 	3.5 	4.9 	4.5 	5.3 b	4.7 	4.4 	4.9 	5.5 	6.2 	6.0 	5.1 	4.7 	4.0 
DEG1,BAD,Y18-64,F,EA	4.7 e	4.0 e	4.7 e	5.1 e	5.0 e	5.1 e	5.0 e	4.8 e	: 	: 	: 	: 	: 	: 	: 	: 
DEG1,BAD,Y18-64,F,EA18	4.8 	4.0 e	4.7 e	5.1 e	5.0 e	5.1 	5.0 e	4.8 e	4.8 e	4.9 e	5.0 	5.7 	6.0 	5.8 	: 	: 
DEG1,BAD,Y18-64,F,EA19	4.7 e	4.0 e	4.7 e	5.1 e	5.0 e	5.1 e	5.0 e	4.9 e	4.8 e	4.9 e	5.1 	5.7 	6.1 	5.9 	: 	: 
DEG1,BAD,Y18-64,F,EE	6.0 	5.6 u	5.3 u	6.5 u	6.8 bu	7.2 	6.8 bu	8.3 u	5.8 u	4.8 u	5.0 	6.4 	6.3 	6.7 	4.6 	: 
DEG1,BAD,Y18-64,F,EL	2.9 	3.0 	2.6 	2.9 	3.4 	2.9 	3.7 b	2.6 	1.9 	2.2 	2.3 	2.5 	2.8 	2.6 	2.4 	3.2 
DEG1,BAD,Y18-64,F,ES	3.2 	2.7 	3.4 	3.4 	3.4 	3.6 	3.2 b	2.9 	3.7 	3.7 	3.6 	5.9 	6.6 	5.8 	6.9 	: 
DEG1,BAD,Y18-64,F,EU	4.7 e	4.4 e	5.1 e	5.3 e	5.2 e	5.2 e	5.2 e	4.9 e	: 	: 	: 	: 	: 	: 	: 	: 
DEG1,BAD,Y18-64,F,EU27	4.7 e	4.4 e	5.1 e	5.2 e	5.2 e	5.2 e	5.2 e	4.9 e	4.9 e	4.9 e	5.1 	5.8 	: 	: 	: 	: 
DEG1,BAD,Y18-64,F,EU28	4.7 e	4.4 e	5.1 e	5.3 e	5.2 e	5.2 e	5.2 e	4.9 e	4.9 e	: 	: 	: 	: 	: 	: 	: 
DEG1,BAD,Y18-64,F,FI	3.1 	3.5 	2.7 	2.3 	2.1 	3.4 	2.8 b	2.4 	2.9 	1.6 	3.7 	4.1 	2.9 	3.5 	3.7 	: 
DEG1,BAD,Y18-64,F,FR	5.4 	4.4 	5.2 	5.0 	4.6 	5.7 	5.6 b	5.7 	5.1 	5.2 	5.8 	6.1 	6.5 	6.0 	5.6 	: 
DEG1,BAD,Y18-64,F,HR	6.5 	6.9 	6.9 	8.3 	6.8 	8.4 u	9.3 bu	10.0 u	11.2 u	: 	: 	: 	: 	: 	: 	: 
DEG1,BAD,Y18-64,F,HU	4.4 	5.5 	6.1 	6.5 	6.8 	7.9 	7.5 b	8.0 	7.2 	7.8 	9.6 	11.8 	9.9 	10.3 	: 	: 
DEG1,BAD,Y18-64,F,IE	3.0 p	3.2 	2.5 	2.5 	3.3 	3.4 	2.1 b	2.2 	3.3 	3.1 	2.2 	2.0 	2.0 	2.2 	1.8 	2.2 
DEG1,BAD,Y18-64,F,IS	: 	: 	6.3 	5.5 	4.7 	3.9 	3.5 b	4.2 	2.8 	3.0 	2.6 	3.1 	3.4 	3.4 	4.2 	: 
DEG1,BAD,Y18-64,F,IT	2.7 	2.0 	3.6 	5.2 b	4.9 	4.9 	5.0 	5.6 	4.2 	4.4 	5.1 	4.9 	5.2 	4.6 	4.5 	: 
DEG1,BAD,Y18-64,F,LT	3.8 u	4.4 u	4.4 u	6.0 u	6.6 	6.7 u	8.1 b	7.0 	7.6 	7.8 	8.9 	7.7 	9.5 	11.6 	: 	: 
DEG1,BAD,Y18-64,F,LU	6.9 	7.3 	5.5 b	9.0 	9.7 	5.2 	4.0 b	7.3 	5.9 	6.5 	5.6 	5.2 	5.4 	5.1 	7.5 	7.5 
DEG1,BAD,Y18-64,F,LV	6.9 	6.7 	6.5 	7.2 	6.9 	9.2 	7.2 b	8.6 	9.6 	7.2 	8.6 	9.2 	9.9 	12.2 	: 	: 
DEG1,BAD,Y18-64,F,MK	: 	5.3 	4.3 	: 	: 	: 	: 	6.4 	7.5 	: 	: 	: 	: 	: 	: 	: 
DEG1,BAD,Y18-64,F,MT	2.3 	1.6 	1.2 	1.4 	1.3 	2.1 	1.8 b	1.7 	2.1 	2.3 	1.9 	2.5 	2.0 	2.6 	: 	: 
DEG1,BAD,Y18-64,F,NL	4.1 	3.6 	4.6 b	4.1 	4.8 	5.3 	5.2 b	5.2 	4.5 	3.9 	4.7 	4.8 	4.8 	4.9 	: 	: 
DEG1,BAD,Y18-64,F,NO	5.1 	5.3 	5.4 	4.9 	: 	6.2 	5.3 b	8.0 	5.7 	5.6 	7.6 	6.6 	8.5 	5.8 	7.3 	: 
DEG1,BAD,Y18-64,F,PL	4.9 	5.7 	6.6 	6.7 	7.3 	7.2 	7.0 b	7.2 	7.6 	8.5 	8.4 	8.2 	8.7 	9.5 	: 	: 
DEG1,BAD,Y18-64,F,PT	6.9 	6.5 	6.7 	7.1 	7.7 	8.2 	7.5 b	6.9 	10.4 	9.9 	9.7 	8.4 	9.1 	9.1 	9.5 	: 
DEG1,BAD,Y18-64,F,RO	3.0 	2.8 	3.1 	3.6 	4.7 	4.4 	4.3 b	5.3 	5.5 	5.0 	5.0 	5.9 	: 	: 	: 	: 
