unit,landcover,geo\time	2015 	2012 	2009 
CVA,LCA,AT	4.6 	4.7 	5.4 
CVA,LCA,AT1	8 	8.7 	10.3 
CVA,LCA,AT11	18.4 	20.7 	25.3 
CVA,LCA,AT12	10 	10.9 	12.8 
CVA,LCA,AT13	15.4 	16.1 	20.3 
CVA,LCA,AT2	9.1 	8.9 	10.2 
CVA,LCA,AT21	17.7 	16.6 	20.6 
CVA,LCA,AT22	10.6 	10.6 	11.8 
CVA,LCA,AT3	7.2 	7.3 	8 
CVA,LCA,AT31	9.9 	10.6 	12.9 
CVA,LCA,AT32	16.2 	27.4 	16.5 
CVA,LCA,AT33	18.2 	16.6 	16.9 
CVA,LCA,AT34	23.5 	22.1 	22.2 
CVA,LCA,BE	4.3 	4.7 	5.3 
CVA,LCA,BE1	24.2 	27.2 	45.7 
CVA,LCA,BE10	24.2 	27.2 	45.7 
CVA,LCA,BE2	5.3 	5.8 	6.7 
CVA,LCA,BE21	11.8 	12.5 	13.5 
CVA,LCA,BE22	14.4 	16.4 	20.2 
CVA,LCA,BE23	10.6 	11.6 	12.6 
CVA,LCA,BE24	12.5 	13 	15.8 
CVA,LCA,BE25	11.3 	12.2 	14.5 
CVA,LCA,BE3	7.3 	8.2 	8.6 
CVA,LCA,BE31	18.7 	19.9 	24.1 
CVA,LCA,BE32	13.5 	16.4 	15.1 
CVA,LCA,BE33	11.1 	12 	13.2 
CVA,LCA,BE34	26.4 	25.6 	25.1 
CVA,LCA,BE35	24.6 	28.3 	32.8 
CVA,LCA,BG	7.1 	7.7 	: 
CVA,LCA,BG3	9.2 	9.9 	: 
CVA,LCA,BG31	17.6 	19.5 	: 
CVA,LCA,BG32	20.7 	21.6 	: 
CVA,LCA,BG33	17.9 	19.3 	: 
CVA,LCA,BG34	18.1 	20 	: 
CVA,LCA,BG4	11.2 	12.2 	: 
CVA,LCA,BG41	15.1 	16.6 	: 
CVA,LCA,BG42	16.8 	18.3 	: 
CVA,LCA,CY	9.2 	10.3 	: 
CVA,LCA,CY0	9.2 	10.3 	: 
CVA,LCA,CY00	9.2 	10.3 	: 
CVA,LCA,CZ	4.5 	4.6 	4.9 
CVA,LCA,CZ0	4.5 	4.6 	4.9 
CVA,LCA,CZ01	15.7 	18.8 	20.5 
CVA,LCA,CZ02	12.5 	13 	13.6 
CVA,LCA,CZ03	13 	13.4 	13.3 
CVA,LCA,CZ04	13.4 	14.3 	15.7 
CVA,LCA,CZ05	11 	10.9 	11.6 
CVA,LCA,CZ06	9.8 	10.2 	11.4 
CVA,LCA,CZ07	13.3 	12.3 	13.2 
CVA,LCA,CZ08	14.3 	15 	14.8 
CVA,LCA,DE	1.9 	2 	2.2 
CVA,LCA,DE1	5.2 	5.6 	6 
CVA,LCA,DE11	8.7 	9.5 	10.5 
CVA,LCA,DE12	10.7 	11.6 	11.8 
CVA,LCA,DE13	10.8 	11.7 	12.9 
CVA,LCA,DE14	12.4 	13 	12.7 
CVA,LCA,DE2	4.6 	4.8 	5.1 
CVA,LCA,DE21	8.3 	8.5 	8.9 
CVA,LCA,DE22	12.2 	13.4 	15.4 
CVA,LCA,DE23	16.9 	17.3 	19.1 
CVA,LCA,DE24	15.2 	16.8 	17.3 
CVA,LCA,DE25	12.3 	13.4 	14.2 
