unit,geo\time	2015 	2012 	2009 
CVA,AT	3.4 	3.5 	4 
CVA,BE	3.3 	3.5 	3.9 
CVA,BG	4.6 	5.6 	: 
CVA,CY	7 	8.4 	: 
CVA,CZ	3.6 	3.7 	3.9 
CVA,DE	1.3 	1.4 	1.5 
CVA,DK	3.7 	3.8 	4.5 
CVA,EE	7.8 	8.8 	9.3 
CVA,EL	3.3 	3.6 	4 
CVA,ES	1.6 	1.6 	1.8 
CVA,EU27	0.5 	0.5 	: 
CVA,EU28	0.5 	: 	: 
CVA,EU_V	0.5 	0.5 	0.6 
CVA,FI	3.6 	3.7 	3.5 
CVA,FR	1.2 	1.2 	1.3 
CVA,HR	6.7 	: 	: 
CVA,HU	4.1 	4.1 	3.9 
CVA,IE	5.1 	5 	5.5 
CVA,IT	1.5 	1.6 	1.7 
CVA,LT	5.3 	6.4 	6.2 
CVA,LU	14.4 	13.4 	15.9 
CVA,LV	5.8 	6.7 	7.7 
CVA,MT	18.2 	18.6 	: 
CVA,NL	3.3 	3.2 	3.3 
CVA,PL	2.1 	2.2 	2.6 
CVA,PT	3.3 	3.3 	3.9 
CVA,RO	3.8 	3.9 	: 
CVA,SE	2.5 	2.7 	2.9 
CVA,SI	8.7 	9 	10.5 
CVA,SK	6.2 	6.5 	5.9 
CVA,UK	1.8 	1.9 	1.9 
I09,AT	111.4 	107.4 	100 
I09,BE	106.1 	96.6 	100 
I09,CZ	99.8 	95 	100 
I09,DE	107 	103.2 	100 
I09,DK	111.7 	106.6 	100 
I09,EE	130.4 	112 	100 
I09,EL	116.6 	109.3 	100 
I09,ES	104.5 	102.2 	100 
I09,EU_V	109.2 	104.6 	100 
I09,FI	118.7 	111.6 	100 
I09,FR	102.3 	101.8 	100 
I09,HU	98.4 	95.8 	100 
I09,IE	108.1 	111.7 	100 
I09,IT	110.2 	105.1 	100 
I09,LT	107.6 	84.5 	100 
I09,LU	107.9 	123.5 	100 
I09,LV	123.5 	110.3 	100 
I09,NL	112 	107.3 	100 
I09,PL	116.8 	111.4 	100 
I09,PT	103.5 	101.8 	100 
I09,SE	143.8 	124.2 	100 
I09,SI	106.4 	99.3 	100 
I09,SK	100.3 	96.1 	100 
I09,UK	101.9 	99.6 	100 
I12,AT	103.7 	100 	: 
I12,BE	109.8 	100 	: 
I12,BG	128.7 	100 	: 
I12,CY	121.7 	100 	: 
I12,CZ	105.1 	100 	: 
I12,DE	103.7 	100 	: 
I12,DK	104.8 	100 	: 
I12,EE	116.4 	100 	: 
I12,EL	106.6 	100 	: 
I12,ES	102.2 	100 	: 
I12,EU27	104.6 	100 	: 
I12,EU_V	104.4 	100 	: 
I12,FI	106.4 	100 	: 
I12,FR	100.4 	100 	: 
I12,HU	102.6 	100 	: 
I12,IE	96.8 	100 	: 
I12,IT	104.8 	100 	: 
I12,LT	127.4 	100 	: 
I12,LU	87.3 	100 	: 
I12,LV	111.9 	100 	: 
I12,MT	90.9 	100 	: 
I12,NL	104.4 	100 	: 
I12,PL	104.8 	100 	: 
I12,PT	101.7 	100 	: 
I12,RO	101.5 	100 	: 
I12,SE	115.8 	100 	: 
I12,SI	107.1 	100 	: 
I12,SK	104.3 	100 	: 
I12,UK	102.3 	100 	: 
KM2,AT	6081 	5862 	5459 
