"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","TRA_MODE","Value","Flag and Footnotes"
"2014","Belgium","Number","Total","1 night or over","Domestic","Total","2,253,573",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Air",":",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Land","2,250,733",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Railways","192,750",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Bus, coach","47,937","u"
"2014","Belgium","Number","Total","1 night or over","Domestic","Motor vehicle","1,993,400",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Waterway",":","u"
"2014","Belgium","Number","Total","1 night or over","Outbound","Total","10,777,700",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Air","3,962,198",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Land","6,726,841",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Railways","646,775",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Bus, coach","514,812",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Motor vehicle","5,481,105",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Waterway","88,660",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Total","13,031,273",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Air","3,962,198",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Land","8,977,574",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Railways","839,525",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Bus, coach","562,748",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Motor vehicle","7,474,505",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Waterway","91,500",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Total","1,471,022",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Air",":",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Land","1,471,022",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Railways","118,442",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Bus, coach","17,639","u"
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Motor vehicle","1,321,104",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Waterway",":",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Total","3,425,321",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Air","696,911",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Land","2,712,065",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Railways","421,700",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Bus, coach","189,351",""
