unit,purpose,duration,partner,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,PERS,N1-3,DOM,F,AT	993188.27 	914896.45 	900129.69 	868982.66 	863939.41 	784730.32 	750987.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,BE	180604.6 	178816.43 b	142532.09 	178840.5 	116962.68 	151601.8 	121593.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,BG	70751.4 	79555.67 	55856.43 	48412.82 	80984.22 	64115.78 	59012.55 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,CH	353121.48 	437325.85 	439729.76 	488603.95 	383337.17 	392603.15 	401727.16 	340347 	363488 	287948 	340809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,CY	70798.77 	61388.34 	59116.6 	52394.75 	52298.27 	38349.08 	31159.21 b	15068 	15738 	: 	153399 	151336 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,CZ	422125.52 	415185.91 	366343.26 	329650.79 	297648.79 	291444.65 	308379.68 	: 	: 	: 	: 	229502 	251681 	222161 	189454 	246971 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,DE	8016060.88 	6526570.67 	5981118.32 	6990665.66 	6340162.54 	7095284.68 	6641388.51 	6963020 	7720000 	7108050 	6552200 	6295000 	2483755 	2256926 	2227000 	2995000 	2217000 	1028208 	1085863 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,DK	1041359.45 	1799621.65 	1978733.98 	1632330.37 	1985530.11 b	1752298.49 b	827666.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,EE	204784.1 	102233.78 	83124.65 	83923.33 	58986.45 	37460.44 	38179.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,EL	129134.87 	107818 	105477.77 	110526.29 	111367.83 	81985.02 	138643.25 	219127 	246096 	362378 	349278 	373089 	: 	: 	: 	: 	: 	: 	: 	: 	69921 	102090 	160118 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,ES	5413845.52 	5083368.65 	4548796.68 	4123687 b	3209523.75 	3200795.37 	3203633.87 	3032779 	2858130 	3014023 	3105972 	2576050 	3057164 	3283068 	2418422 	2139818 	1784381 	1795493 	1672834 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,FI	1353063.14 	1409999.52 	1337912.47 	1398866.31 	1309430.07 	1436348.31 	1468798.77 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,FR	6174480.13 	7360792.36 	5898831.41 	5837750.7 	6457092.14 	6248503.41 	6211979.87 b	5600744 	5087987 	5041812 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,HR	61656.9 	61102.31 	52114.31 	68932.22 	95412.05 	112778.19 	99081.25 	117064 	137683 	102914 	105548 	78985 	: 	: 	156958 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,HU	289384.3 	283842.93 	243025.99 	243470.56 	222857.47 	192115.39 	225359.04 	269402 	235225 	220016 	315979 	342403 	295686 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,IE	620101.03 	551975.74 	534534 	490106.62 	437752.11 	409034.15 	409495.42 	365200 	381600 	296000 	366000 	351300 	: 	224700 	182000 	161700 	146900 	129400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,IT	2177030.79 	1879018.23 	1987808.42 	1489992.88 	1309287.45 b	1309965.83 	1693273.36 	: u	: u	: u	: u	2439851 	2339268 	2250446 	1791493 	1741595 	1770187 	1508777 	1504140 	1507572 	1516998 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,LT	61154.55 	57571.58 	52705.55 	50849.2 	42611.86 	33415.4 	36789.97 	33999 	32842 	31647 	35679 	32968 	26509 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,LU	1814.73 u	1031.27 u	: u	: u	3494.22 u	2695 u	1589.55 	: 	: u	: u	: u	: 	3606 	: u	3274 	3344 	2097 	1942 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,LV	53576.45 	46923.87 	45787.48 	50474.74 	45439.96 	50163.51 	52627.06 	42485 	39645 	38301 	42345 	40360 	35534 	29885 	: 	18010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,MT	14291.57 	14783.55 	13298.54 	12074.8 	11047.54 b	8189.33 	9367.08 	4787 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,NL	903345.29 	749230.19 	742559.98 	657817.18 	641416.61 	571096.66 	639595.79 b	446000 	418000 	417000 	409000 	418000 	359000 	367000 	372000 	381000 	410000 	271000 	265008 	255478 	270310 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,NO	1377439.47 	1027639.38 	942916.36 	979968.79 	956533.7 	811350.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,PL	: 	988889.46 	858827.1 	750029.4 	611570.8 b	1276886.77 	1274637.16 	334903 e	375497 	344302 	560918 e	692444 	325983 e	278399 e	284969 e	281845 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,PT	419153.74 	364119.39 	322941.87 	311699.76 	262879.74 	202331.39 	205348.67 	195342 	227368 	285259 	: u	130139 	195281 	180876 	199291 	139550 	176978 	158896 	153360 	146327 	125230 	132523 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,RO	: 	398687.04 	353689.38 	303196.02 	294760.79 	276067.65 	205142.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,SE	: 	: 	1149650.2 	1150388.36 	933127.95 	: 	: 	1481096 	1507554 	1161492 	1245320 	1153825 	1250325 	: 	: 	: 	: 	: 	: 	: 	: 	912393 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,SI	53962.14 	54398.22 	43259.02 	37191.05 	46482.93 	47551.55 	41182.3 	43435 	45572 	47981 	40288 	36475 	37868 	28113 	23554 	18537 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,SK	279152.24 	217171.93 	168128.46 	148460.1 	159998.3 	103789.34 b	124625.94 	85018 	96361 	64608 	62032 	57865 	40837 	42751 	35482 	36833 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,F,UK	: 	: 	: 	: 	: 	5264820.1 	: u	4201026 	4225586 	4638920 	5079871 	5266388 	5175070 	5630301 	5186397 	5712052 	6715318 	6152211 	5990372 	2523625 	2224460 	2129123 	1570414 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,AT	933958 	841576.99 	883800.89 	808056.9 	754335.44 	714070.42 	627018.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,BE	170145.62 	167289.68 b	125961.24 	171659.47 	108361.52 	130957.95 	123080.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,BG	74983.27 	94099.63 	54672.13 	54998.19 	81023.93 	67320.84 	58368.76 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,CH	401345.64 	471633.57 	462918.31 	379362.86 	419302.76 	499293.21 	322012.25 	402277 	242842 	: u	343329 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,CY	58821.24 	60007.64 	48440.96 	49361.72 	52528.72 	43795.42 	34874.88 b	13302 	13893 	: 	135427 	133605 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,CZ	422090.34 	409786.39 	358857.76 	297524.66 	290052.81 	274575.69 	293421.81 	: 	: 	: 	: 	288478 	265087 	258754 	240421 	267219 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,DE	8276744.73 	6646223.29 	7508701.24 	6733441.7 	6383234.72 	7544871.48 	7017960.74 	7494930 	7258000 	7151850 	6717800 	6125000 	2861626 	2195727 	2189000 	4437000 	2182000 	1148873 	1470601 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,DK	809271.83 	1896280.9 	1492914.77 	1622457.06 	1818521.24 b	1663547.01 b	831135.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,EE	227050.88 	88790.81 	90631.94 	70747.95 	59501.56 	41589.96 	31402.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,EL	125956.9 	98825 	88014.97 	93401.85 	102679.89 	85135.73 	135547.37 	221972 	275725 	346119 	359293 	385175 	: 	: 	: 	: 	: 	: 	: 	: 	78164 	101148 	159545 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,ES	5368562.11 	5215214.78 	4716133.06 	4294920.25 b	3147604.33 	3172028.72 	3144919.56 	3004966 	2928282 	2962781 	2756609 	2502695 	2975778 	3285409 	2556328 	2191231 	1900884 	1860493 	1659402 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,FI	1639539.91 	1576597.63 	1546135 	1531830.37 	1528701.44 	1639166.04 	1710421.92 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,FR	5266509.47 	6253182.63 	5567732.53 	5644051.9 	6215367.61 	6018151.03 	6191868.69 b	5465166 	4888642 	4879548 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,HR	93929.73 	75611.2 	71183.82 	85241.63 	140249.36 	169596.39 	139427.41 	150932 	154605 	122098 	126063 	88825 	: 	: 	161859 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,HU	258765.72 	266577.04 	233820.02 	220329.46 	202216.45 	173483.02 	202613.77 	222515 	207793 	194221 	250260 	284121 	235185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,IE	476122.91 	455679.98 	402190.73 	391035.36 	325554.83 	304869.01 	300921.03 	257900 	305400 	237000 	309000 	281600 	: 	180700 	150000 	137800 	123000 	115700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,IT	2104429.65 	1910693.57 	2018430.93 	1692937.87 	1355456.46 b	1405813.01 	1945415.22 	: u	: u	: u	: u	2680507 	2429860 	2464906 	2008914 	2029422 	1858714 	1702425 	1579975 	1621654 	1717077 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,LT	60868.19 	55806.41 	51145.34 	47756.08 	41782.93 	36822.67 	39461.86 	35910 	32324 	31795 	38511 	33935 	23578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,LU	3731.16 u	1922.67 u	: u	2276.61 u	2116.5 u	5489.42 u	2050.73 	630 	: 	: u	: u	: 	1911 	2803 	3614 	: u	1606 	7887 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,LV	42888.84 	50040.71 	41765.75 	38671.62 	42482.45 	46906.44 	45935.35 	37373 	37312 	34976 	43238 	43701 	35619 	28441 	: 	17340 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,MT	15085.79 	15807.41 	16977.96 	11329.26 	12009.32 b	9289.78 	11225.66 	12976 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,NL	836044.46 	687020.87 	638873.37 	580580.53 	570703.09 	590451.66 	591769.36 b	415000 	436000 	394000 	401000 	399000 	356000 	317000 	333000 	350000 	417000 	280000 	271814 	245496 	234720 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,NO	1241029.11 	1218490.04 	1041313.78 	969070.65 	1116777.34 	931744.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,PL	: 	870742.33 	731130.05 	636746.83 	541643.4 b	1180335.95 	1362623.76 	279085 e	312915 	344302 	481194 e	293363 	305450 e	268456 e	265088 e	297756 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,PT	375693.01 	339301.39 	270394.24 	283262.53 	256753.24 	173599.89 	200009.76 	170611 	204958 	280312 	: u	128818 	157853 	182436 	173724 	143469 	136590 	148552 	138726 	137380 	115415 	107305 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,RO	: 	422024.08 	415193.39 	363069.98 	337388.81 	315931.65 	269211.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,SE	: 	: 	1318180.58 	1263368.69 	945702.8 	: 	: 	1514873 	1448418 	1280899 	1139238 	1280094 	1354059 	: 	: 	: 	: 	: 	: 	: 	: 	1063880 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,SI	65059.61 	39265.63 	43501.3 	39860.93 	53195.57 	50584.1 	56235.57 	53564 	67327 	72829 	40210 	40472 	49754 	31047 	28021 	21459 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,SK	181692.87 	304238.02 	224552.94 	154441.47 	114002.19 	123733.35 b	106606.65 	110462 	92809 	58512 	58365 	55011 	40623 	39766 	47340 	38741 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,M,UK	: 	: 	: 	: 	: 	5216723.92 	: u	4056135 	4166132 	4501987 	4748330 	5228395 	5549118 	5352442 	5566411 	6018125 	7140711 	6922624 	6902792 	2855017 	2369337 	2361679 	1676092 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,AT	1927146.27 	1756473.44 	1783930.58 	1677039.56 	1618274.85 	1498800.73 	1378005.39 	1216759 	1311236 	1166347 	944816 	986909 	940230 	662680 	1185022 	1095038 	1701088 	889411 	942749 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,BE	350750.22 	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 	259568 	190313 	208361 	220332 	238718 	202608 	326343 	354317 	268772 	211942 	191581 	209822 	160660 	153317 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,BG	145734.67 	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 b	287514 	332806 	407011 	290940 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,CH	754467.12 	908959.43 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 	742623 	606331 	689881 	684138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,CY	129620.01 	121395.98 	107557.56 	101756.47 	104826.99 	82144.51 	66034.09 b	28370 	29631 	: 	288826 	284941 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,CZ	844215.86 	824972.3 	725201.02 	627175.44 	587701.59 	566020.34 	601801.5 	672999 	436362 	590692 	673946 	517981 	516768 	480916 	429875 	514190 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,DE	16292805.6 	13172793.97 	13489819.56 	13724107.36 	12723397.25 	14640156.16 	13659349.25 	14457950 	14978000 	14259900 	13269800 	12420000 	5345381 	4452654 	4418000 	7434000 	4400000 	2177081 	2556463 	4374562 	3242650 	2464085 	: 	: 	: 	: 	: 	: 	: 
