unit,duration,partner,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N1-3,WORLD,AT	: 	4324150 	4292276 	4195713 	4130375 	4264321 	4119170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,BE	3865563 	3593973 b	3206234 	2970031 	2665112 	2863748 	2206533 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,BG	1255204 	1359755 	1027332 	1024039 	1072023 	656285 	545011 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,CH	4752932 	4713670 	4666464 	4557444 	4345410 	4372054 	4276835 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,CY	283357 e	248715 e	274419 e	239165 e	246994 e	212165 e	303695 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,CZ	6076089 	6374793 	6247174 	6107778 	6226692 	5527683 	5658708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,DE	49230610 	46337128 	50657581 	48199996 	49029356 	50068574 	49895720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,DK	1537807 e	1572274 e	2079622 	2009893 	2218049 	2114792 	2041126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,EA	138976575 	: 	134463115 	129476969 	125522688 	126795110 	128391728 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,EE	811403 	700280 	606113 	570830 	713966 	596824 	584471 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,EL	1190292 	1121788 	951804 	1077222 	1080235 	856216 	1300026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,ES	19439037 	20150650 	18417748 	17901013 b	14485336 	14398283 	14344187 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,EU25	184124992 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,EU27	188035770 e	: 	180527005 	174025600 	170597297 	164031203 	161959542 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,EU28	188994541 e	: 	181294765 	174824760 	171642190 	165147140 	163052503 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,FI	3847716 	3886110 	3878073 	3792187 	3821595 	3769445 	3850333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,FR	29337802 	28902754 	26129306 	26356314 	26163620 	26050136 	26484794 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,HR	958771 	752541 	767760 	799160 b	1044893 	1115937 	1252108 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,HU	3722791 	3776284 	3572737 	3362673 	3331117 	3085293 	3296927 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,IE	1892211 	1866111 	1766274 	1683506 	1693883 	1558586 	1670101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,IT	10513926 	9841982 	11263009 	10156932 	9207873 b	9795305 	11788635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,LT	741761 	747404 	755791 	760204 	758073 	756336 	705242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,LU	: c	328703 	252348 	270807 	221069 	250057 	207700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,LV	: 	769073 	828852 	784997 	752748 	736221 	655401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,ME	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,MK	220521 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,MT	102412 	102975 	99512 	81801 	87579 	85515 	85100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,NL	7866236 	7806309 	7804466 	7460235 	7716141 	7618271 	8053928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,NO	3422258 	3252539 	3131483 	3152995 	3194378 	3181800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,PL	14377384 	13763180 	13408325 	12379398 	11585800 	10100000 	10810000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,PT	2875301 	2660677 	2730658 	2624702 	2474601 	2602737 	2223751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,RO	2655574 	2750546 	2400261 	2618004 	2492287 	2489783 	2055174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,SE	5521076 	5647239 b	3572375 	3370545 	3174420 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,SI	665230 	625437 	664749 	538088 	581164 e	559414 e	639494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,SK	2396195 	2097906 	1516980 	1358427 	1203789 	1245513 b	634090 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,UK	: 	: 	12241150 	12131100 	13463400 	11769700 	4583000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,AT	: 	1304408 	1364017 	1344580 	1348198 	1327722 	1355097 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,BE	634752 	630985 b	393989 	500435 	440854 	489939 	518284 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,BG	1688358 	1821030 	1622484 	1535770 	1430774 	1196931 	1012968 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,CH	598960 	584848 	629662 	673061 	649558 	672216 	816571 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,CY	166169 e	170162 e	173084 e	191306 e	159756 e	188796 e	203007 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,CZ	3091165 	3460806 	3624574 	3621755 	3806839 	3152748 	3177297 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,DE	12354956 	13680047 	15124254 	16570030 	16070924 	16487916 	17587516 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,DK	1237468 e	1269067 e	1069290 	1038616 	1065837 	996650 	958961 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,EA	84002468 	: 	85911771 	87633581 	84715465 	89184469 	93008742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,EE	190575 	: 	257381 	260260 	281740 	230813 	230663 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,EL	3249612 	3073570 	2747432 	2878410 	3062062 	2590468 	3064523 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,ES	16948220 	16992606 	17588030 	16927230 b	16184672 	16707425 	16178398 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,EU25	121310625 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,EU27	127078483 e	: 	128359871 	129120648 	126224744 	128938588 	132723400 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,EU28	128009128 e	: 	129417475 	130159386 	127316353 	129841183 	133538422 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,FI	1362134 	1264051 	1327962 	1258190 	1450799 	1391172 	1488515 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,FR	25058562 	25492185 	24838386 	25530695 	24961148 	25667941 	26105790 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,HR	930645 	903998 	1057604 	1038738 b	1091609 	902595 	946953 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,HU	2836041 	2757784 	2813680 	2708696 	2873819 	2851524 	2754432 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,IE	581033 	712604 	633404 	709202 	696393 	751112 	665185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,IT	14461009 	13145371 	13663208 	14014287 	12638439 b	15943533 	18542557 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,LT	688930 	678080 	686732 	720282 	696939 	684333 	643022 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,LU	: c	: c	: c	: c	1743 	4051 	2640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,LV	: 	388243 	413034 	399092 	394081 	424712 	404717 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,ME	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,MK	171838 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,MT	44990 	54350 	53122 	48692 	58044 	53814 	75574 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,NL	2927331 	3005207 	3177698 	3170976 	3308568 	3262589 	3199863 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,NO	601934 	690891 	660051 	546098 	591258 	554266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,PL	13911851 	13328185 	12853326 	12063806 	11907720 	12300000 	11320000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
